20000	5.52127e-08	3.3417e-10	50
40000	5.80809e-08	3.13182e-10	50
60000	6.00525e-08	1.88482e-10	50
80000	6.14808e-08	4.30728e-10	50
100000	6.21549e-08	3.13591e-10	50
120000	6.30496e-08	2.62408e-10	50
140000	6.27048e-08	3.58374e-10	50
160000	6.41402e-08	3.39824e-10	50
180000	7.17999e-08	7.10516e-09	50
200000	6.67129e-08	2.0896e-09	50
20000	2.33972e-08	3.39381e-10	50
40000	2.53362e-08	2.14696e-10	50
60000	2.72163e-08	3.62622e-10	50
80000	2.87255e-08	9.81523e-10	50
100000	3.01975e-08	2.17176e-09	50
120000	2.95285e-08	4.32515e-10	50
140000	2.90642e-08	2.30285e-10	50
160000	3.17744e-08	9.86334e-10	50
180000	2.98657e-08	2.19525e-10	50
200000	3.03053e-08	2.82679e-10	50
