20000	5.15975e-06	4.21864e-08	50
40000	9.81902e-06	2.17441e-07	50
60000	1.44114e-05	4.179e-07	50
80000	1.98649e-05	4.98177e-07	50
100000	2.23527e-05	1.087e-06	50
120000	2.96463e-05	6.33138e-07	50
140000	3.50485e-05	7.65372e-07	50
160000	4.31316e-05	1.69199e-06	50
180000	4.47927e-05	9.14556e-07	50
200000	4.97557e-05	1.34357e-06	50
20000	9.52042e-06	3.08e-07	50
40000	1.98456e-05	4.60161e-07	50
60000	2.97338e-05	6.68366e-07	50
80000	3.87792e-05	1.17104e-06	50
100000	5.20181e-05	7.03229e-07	50
120000	5.96695e-05	1.58735e-06	50
140000	6.6952e-05	2.52763e-06	50
160000	7.95289e-05	2.20861e-06	50
180000	9.50166e-05	2.3857e-06	50
200000	0.000103283	8.74746e-07	50
